71732	71994	71705	256
72052	72291	72012	257
72348	72611	72318	258
72658	72921	72720	259
72969	73235	72938	260
73239	73289	73260	261
73573	73625	73594	262
73875	73879	73877	263
73928	74180	74160	264
74236	74464	74200	265
74522	74780	74495	266
74827	75086	74880	267
75134	75387	75103	268
75389	75391	75388	269
75439	75717	75600	270
75770	76018	75738	271
76073	76314	76046	272
76371	76598	76334	273
76655	76905	76628	274
76951	77208	77040	275
77255	77508	77228	276
77512	77562	77537	277
77827	77882	77848	278
78131	78186	78161	279
78430	78476	78450	280
78713	78760	78733	281
78997	79046	79019	282
79303	79357	79324	283
79600	79655	79629	284
79910	79968	79931	285
80209	80268	80241	286
80519	80566	80541	287
80808	80856	80829	288
81093	81096	81095	289
81098	81147	81120	290
81388	81444	81410	291
81692	81749	81719	292
82009	82056	82030	293
82306	82354	82327	294
82614	82617	82327	295
82666	82918	82800	296
82968	83194	82938	297
83249	83498	83222	298
83556	83791	83520	299
83849	84112	83823	300
84115	84163	84137	301
84419	84466	84438	302
84707	84710	84709	303
84760	85006	84960	304
85061	85279	85027	305
85335	85561	85309	306
85608	85850	85680	307
85897	86145	85870	308
86148	86198	86172	309
86454	86508	86474	310
86740	86796	86769	311
87037	87085	87055	312
87326	87373	87346	313
87601	87604	87346	314
87652	87886	87840	315
87941	88171	87908	316
88227	88483	88201	317
88530	88784	88560	318
88831	89065	88804	319
89068	89117	89091	320
89354	89407	89375	321
89636	89690	89664	322
89921	89968	89942	323
90209	90257	90229	324
90504	90507	90506	325
90557	90816	90720	326
90870	91109	90837	327
91164	91402	91138	328
91450	91682	91440	329
91736	91975	91709	330
91978	92026	92001	331
92267	92315	92287	332
92557	92611	92585	333
92866	92923	92887	334
93156	93215	93188	335
93452	93501	93475	336
93735	93782	93755	337
94012	94016	94015	338
94065	94302	94040	339
94360	94579	94323	340
94637	94887	94611	341
94936	95179	95040	342
95232	95462	95201	343
95517	95737	95491	344
95794	95982	95760	345
96039	96250	96013	346
96298	96524	96480	347
96579	96795	96545	348
96852	97092	96825	349
97139	97391	97200	350
97438	97682	97412	351
97685	97734	97708	352
97984	98039	98005	353
98262	98317	98290	354
98570	98617	98592	355
98898	98945	98918	356
99202	99249	99224	357
99509	99562	99531	358
99813	99817	99531	359
99866	100122	100080	360
100178	100407	100144	361
